 197710131452  2.2  -123.344   49.044   PGC     22.00   Mw   2.2 Mq     2.20
 197801160232  2.1  -123.143   48.981   PGC     14.00   Mw   2.1 Mq     2.10
 197804201914  2.2  -125.245   48.734   PGC     33.00   Mw   2.2 Mq     2.20
 197805261332  2.0  -125.520   50.650   PGC     18.00 F Mw   2.0 Mq     2.00
 197808160239  2.2  -123.643   49.250   PGC      6.00   Mw   2.2 Mq     2.20
 197811051011  2.4  -126.420   49.420   PGC     18.00 F Mw   2.4 Mq     2.40
 197901040735  2.1  -125.480   50.300   PGC     18.00 F Mw   2.1 Mq     2.10
 197901112053  2.4  -124.040   49.810   PGC      1.00 F Mw   2.4 Mq     2.40
 197901250859  2.1  -125.370   50.310   PGC     18.00 F Mw   2.1 Mq     2.10
 197903251525  2.3  -123.860   49.300   PGC     44.00   Mw   1.7 Mq     2.27
 197907240239  2.3  -125.070   49.600   PGC     18.00 F Mw   2.3 Mq     2.30
 197907281131  2.2  -125.300   49.930   PGC     18.00 F Mw   2.2 Mq     2.20
 197910271130  2.2  -126.310   50.290   PGC     18.00 F Mw   2.2 Mq     2.20
 198003130415  2.1  -123.460   48.690   PGC     17.00   Mw   2.1 Mq     2.10
 198003211922  2.1  -126.130   49.390   PGC     18.00 F Mw   2.1 Mq     2.10
 198004292035  2.4  -124.040   49.940   PGC     20.00   Mw   2.4 Mq     2.40
 198005131947  2.1  -122.910   49.190   PGC      5.00   Mw   2.1 Mq     2.10
 198005190300  2.1  -125.390   50.780   PGC     18.00 F Mw   2.1 Mq     2.10
 198005250724  2.4  -125.190   51.070   PGC     18.00 F Mw   2.4 Mq     2.40
 198007051009  2.0  -124.810   49.810   PGC     18.00 F Mw   2.0 Mq     2.00
 198008131336  2.1  -126.090   50.340   PGC     18.00 F Mw   2.1 Mq     2.10
 198009110230  2.4  -125.730   49.080   PGC     14.00   Mw   2.4 Mq     2.40
 198009201351  2.1  -125.050   48.600   PGC     21.00   Mw   2.1 Mq     2.10
 198010111623  2.1  -123.660   49.960   PGC     20.00   Mw   2.1 Mq     2.10
 198010112033  2.3  -126.360   50.110   PGC     18.00 F Mw   2.3 Mq     2.30
 198011121616  2.2  -125.900   50.650   PGC     18.00 F Mw   2.2 Mq     2.20
 198101100429  2.0  -125.000   49.270   PGC      1.00   Mw   2.0 Mq     2.00
 198103061335  2.2  -125.160   51.120   PGC     18.00 F Mw   2.2 Mq     2.20
 198108112158  2.0  -124.830   48.650   PGC     20.00   Mw   2.0 Mq     2.00
