# mean, investigation_time=50.0
lon,lat,0.02~SA(2.0),0.02~SA(5.0),0.1~SA(2.0),0.1~SA(5.0)
-78.73000,44.35000,4.519356E-02,1.190361E-02,1.531677E-02,3.562186E-03
-78.73000,44.92000,4.749887E-02,1.259028E-02,1.591688E-02,3.702854E-03
-78.70000,46.32000,7.855865E-02,1.952902E-02,2.228184E-02,4.993824E-03
-78.68000,43.91000,4.713949E-02,1.212112E-02,1.561397E-02,3.585003E-03
-78.65000,44.78000,4.719116E-02,1.250397E-02,1.590740E-02,3.704646E-03
-78.58000,43.92000,4.732729E-02,1.219673E-02,1.571074E-02,3.610427E-03
-78.52000,45.05000,4.981711E-02,1.321763E-02,1.666944E-02,3.897815E-03
-78.47000,44.20000,4.642693E-02,1.218710E-02,1.568879E-02,3.641218E-03
-78.32000,44.30000,4.715564E-02,1.243288E-02,1.596279E-02,3.712825E-03
-78.30000,43.95000,4.816290E-02,1.246374E-02,1.601904E-02,3.689661E-03
-78.27000,44.43000,4.769256E-02,1.261736E-02,1.615322E-02,3.765855E-03
-78.17000,43.97000,4.857707E-02,1.259973E-02,1.616565E-02,3.729570E-03
-78.13000,48.13000,4.902927E-02,1.334505E-02,1.699260E-02,4.101010E-03
-78.12000,48.57000,4.416986E-02,1.212524E-02,1.546699E-02,3.735130E-03
-77.98000,44.38000,4.911585E-02,1.299154E-02,1.659758E-02,3.878243E-03
-77.95000,44.30000,4.910621E-02,1.295969E-02,1.656617E-02,3.865487E-03
-77.88000,44.00000,4.973578E-02,1.292867E-02,1.654131E-02,3.828562E-03
-77.85000,45.05000,5.502182E-02,1.470237E-02,1.853727E-02,4.381757E-03
-77.80000,44.30000,4.996365E-02,1.318943E-02,1.683282E-02,3.934180E-03
